Id	Categories	Description
COG0054	H	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)
COG0055	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)
COG0056	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
COG0057	G	glyceraldehyde3phosphate dehydrogenase
COG0058	G	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)
COG0059	E	Alpha-keto-beta-hydroxylacyl reductoisomerase
COG0060	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)
COG0061	G	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)
COG0062	G	NADHX epimerase activity
COG0063	G	Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration (By similarity)
COG0064	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
COG0065	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
COG0066	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
COG0067	E	glutamate synthase
COG0068	O	protein carbamoylation
COG0069	E	glutamate synthase
COG0070	E	glutamate synthase
COG0071	O	response to heat
COG0072	J	phenylalanyl-tRNA synthetase (beta subunit)
COG0073	J	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)
COG0074	C	Succinyl-CoA ligase ADP-forming subunit alpha
COG0075	E	aminotransferase
COG0076	E	decarboxylase
COG0077	E	Prephenate dehydratase
COG0078	E	ornithine carbamoyltransferase
COG0079	E	Imidazole acetol-phosphate transaminase
COG0080	J	This protein binds directly to 23S ribosomal RNA (By similarity)
COG0081	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)
COG0082	E	5-enolpyruvylshikimate-3-phosphate phospholyase
COG0083	E	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)
COG0084	L	tatd family
COG0085	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
COG0086	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
COG0087	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)
COG0088	J	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)
COG0089	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)
COG0090	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
COG0091	J	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)
COG0092	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)
COG0093	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)
COG0094	J	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
COG0095	H	Lipoate-protein, ligase
COG0096	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)
COG0097	J	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)
COG0098	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)
COG0099	J	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
COG0100	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)
COG0101	J	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)
COG0102	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)
COG0103	J	30S ribosomal protein S9
COG0104	F	Plays an important role in the de novo pathway of purine nucleotide biosynthesis
COG0105	F	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity)
COG0106	E	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
COG0107	E	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)
COG0108	H	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)
COG0109	O	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group (By similarity)
COG0110	S	acetyltransferase
COG0111	E	Dehydrogenase
COG0112	E	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)
COG0113	H	delta-aminolevulinic acid dehydratase
COG0114	C	fumarate hydratase class II
COG0115	E	brancheD-chain amino acid aminotransferase
COG0116	L	Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA (By similarity)
COG0117	H	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)
COG0118	E	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The hisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to hisF for the synthesis of IGP and AICAR (By similarity)
COG0119	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)
COG0120	G	phosphoriboisomerase A
COG0121	S	Glutamine amidotransferase
COG0122	L	Glycosylase
COG0123	BQ	Histone deacetylase
COG0124	J	Histidyl-trna synthetase
COG0125	F	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)
COG0126	G	phosphoglycerate kinase
COG0127	F	Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)
COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	E	Dihydroxy-acid dehydratase
COG0130	J	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)
COG0131	E	imidazoleglycerolphosphate dehydratase
COG0132	H	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)
COG0133	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
COG0134	E	indole-3-glycerol phosphate synthase
COG0135	E	N-(5'-phosphoribosyl)anthranilate isomerase
COG0136	E	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)
COG0137	E	Citrulline--aspartate ligase
COG0138	F	bifunctional purine biosynthesis protein PURH
COG0139	E	Phosphoribosyl-amp cyclohydrolase
COG0140	E	phosphoribosyl-ATP pyrophosphatase
COG0141	E	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)
COG0142	H	synthase
COG0143	J	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)
COG0144	J	nOP2 Sun
COG0145	EQ	5-oxoprolinase
COG0146	EQ	5-oxoprolinase
COG0147	E	synthase (Component I)
COG0148	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
COG0149	G	triosephosphate isomerase
COG0150	F	phosphoribosylaminoimidazole synthetase
COG0151	F	Phosphoribosylglycinamide synthetase
COG0152	F	SAICAR synthetase
COG0153	G	Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P) (By similarity)
COG0154	J	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)
COG0155	C	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate (By similarity)
COG0156	H	8-Amino-7-oxononanoate synthase
COG0157	H	nicotinate-nucleotide diphosphorylase (carboxylating) activity
COG0158	G	D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1
COG0159	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)
COG0160	E	transaminase activity
COG0161	E	Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor (By similarity)
COG0162	J	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)
COG0163	H	carboxy-lyase activity
COG0164	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
COG0165	E	argininosuccinate lyase
COG0166	G	glucose-6-phosphate isomerase activity
COG0167	F	Catalyzes the conversion of dihydroorotate to orotate
COG0168	P	Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity)
COG0169	E	shikimate dehydrogenase
COG0170	I	phosphatidate Cytidylyltransferase
COG0171	H	nh(3)-dependent nad( ) synthetase
COG0172	J	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)
COG0173	J	aspartyl-trna synthetase
COG0174	E	glutamine synthetase
COG0175	P	Reduction of activated sulfate into sulfite (By similarity)
COG0176	G	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)
COG0177	L	endonuclease III
COG0178	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)
COG0179	Q	Fumarylacetoacetate hydrolase
COG0180	J	tryptophanyltRNA synthetase
COG0181	H	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity)
COG0182	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)
COG0183	I	acetyl-coa acetyltransferase
COG0184	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome (By similarity)
COG0185	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)
COG0186	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal
COG0187	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
COG0188	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
COG0189	HJ	Responsible for the addition of glutamate residues to the C-terminus of ribosomal protein S6 (By similarity)
COG0190	H	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate (By similarity)
COG0191	G	Aldolase
COG0192	H	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
COG0193	J	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)
COG0194	F	Essential for recycling GMP and indirectly, cGMP (By similarity)
COG0195	K	Transcription elongation factor NusA
COG0196	H	riboflavin biosynthesis protein ribF
COG0197	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)
COG0198	J	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)
COG0199	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)
COG0200	J	Binds to the 23S rRNA (By similarity)
COG0201	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)
COG0202	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
COG0203	J	50S ribosomal protein l17
COG0204	I	Acyltransferase
COG0205	G	phosphohexokinase
COG0206	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
COG0207	F	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)
COG0208	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
COG0209	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)
COG0210	L	helicase
COG0211	J	50S ribosomal protein l27
COG0212	H	5-formyltetrahydrofolate cyclo-ligase
COG0213	F	The enzymes which catalyze the reversible phosphorolysis of pyrimidine nucleosides are involved in the degradation of these compounds and in their utilization as carbon and energy sources, or in the rescue of pyrimidine bases for nucleotide synthesis (By similarity)
COG0214	H	Involved in the production of pyridoxal phosphate, probably by incorporating ammonia into the pyridine ring (By similarity)
COG0215	J	Cysteinyl-tRNA synthetase
COG0216	J	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)
COG0217	K	transcriptional regulatory protein
COG0218	S	Necessary for normal cell division and for the maintenance of normal septation (By similarity)
COG0219	J	Methylates the ribose at the nucleotide 34 wobble position in the two leucyl isoacceptors tRNA(Leu)(CmAA) and tRNA(Leu)(cmnm5UmAA). Catalyzes the methyl transfer from S- adenosyl-L-methionine to the 2'-OH of the wobble nucleotide (By similarity)
COG0220	S	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA (By similarity)
COG0221	C	Pyrophosphate phospho-hydrolase
COG0222	J	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)
COG0223	J	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
COG0224	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)
COG0225	O	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity)
COG0226	P	phosphate abc transporter
COG0227	J	50s ribosomal protein L28
COG0228	J	30s ribosomal protein S16
COG0229	O	)-reductase
COG0230	J	50s ribosomal protein l34
COG0231	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)
COG0232	F	deoxyguanosinetriphosphate triphosphohydrolase-like protein
COG0233	J	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)
COG0234	O	Binds to cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)
COG0235	G	Class II aldolase adducin
COG0236	I	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)
COG0237	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
COG0238	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit (By similarity)
COG0239	D	inorganic anion transmembrane transporter activity
COG0240	C	glycerol-3-phosphate dehydrogenase
COG0241	E	histidinol-phosphatase activity
COG0242	J	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)
COG0243	C	molybdopterin oxidoreductase
COG0244	J	50s ribosomal protein L10
COG0245	I	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)
COG0246	G	Mannitol dehydrogenase
COG0247	C	domain protein
COG0248	FP	ppx gppa phosphatase
COG0249	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)
COG0250	K	Participates in transcription elongation, termination and antitermination (By similarity)
COG0251	J	Endoribonuclease LPSP
COG0252	E	L-asparaginase
COG0253	E	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity)
COG0254	J	50S ribosomal protein L3-1
COG0255	J	50s ribosomal protein l29
COG0256	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)
COG0257	J	50S ribosomal protein L36
COG0258	L	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA (By similarity)
COG0259	H	Catalyzes the oxidation of either pyridoxine 5'- phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP) (By similarity)
COG0260	E	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)
COG0261	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)
COG0262	H	dihydrofolate reductase activity
COG0263	E	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)
COG0264	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)
COG0265	O	Serine protease
